name,release_date,required_age,price,header_image,positive,negative,recommendations,genres,categories,description
Galactic Bowling,20081021,0.0,19.99,https://cdn.akamai.steamstatic.com/steam/apps/20200/header.jpg?t=1640121033,0.0,6.0,30.0,"Singleplayer,Multiplayer,Steam Achievements,Partial Controller Support","Indie,Casual,Sports,Bowling",d 
Train Bandit,20171012,0.0,0.99,https://cdn.akamai.steamstatic.com/steam/apps/655370/header.jpg?t=1617500526,0.0,53.0,12.0,"Singleplayer,Steam Achievements,Full controller support,Steam Leaderboards,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV","Indie,Action,Pixel Graphics,2D,Retro,Arcade,Score Attack,Minimalist,Comedy,Singleplayer,FastPaced,Casual,Funny,Parody,Difficult,Gore,Violent,Western,Controller,Blood",THE LAW Looks to be a showdown atop a train This will be your last fight Good luck Train Bandit WHAT IS THIS GAME Train Bandit is a simple score attack game The Law will attack you from both sides Your weapon is your keyboard Youll use those keys to kick the living shit out of the law React quickly by attacking the correct direction Reactor youre dead THE FEATURES Unlock new bandits Earn Achievements Become Steams Most Wanted Battle elite officers Kick the laws ass
Jolt Project,20211117,0.0,4.99,https://cdn.akamai.steamstatic.com/steam/apps/1732930/header.jpg?t=1637149386,0.0,0.0,0.0,Singleplayer,,Jolt Project The army now has a new robotics project jolt Its up to you to control it and ensure the success of the missions There are 9 stages of taking the breath away with the right difficulty and good gameplay Plus an insane way of survival Fire missiles at cars tanks helicopters and turrets The fun is guaranteed Use your mouse to aim and shoot and take out the enemies In this game you will have to be aware of the various enemies who will do everything to destroy your charges and prevent the success of your mission Cartoonstyle graphics are optimized and fun and generate an excellent gaming environment
Henosis 12,20200723,0.0,5.99,,,,,,,HENOSIS 12 is a mysterious 2D Platform Puzzler where players are propelled into weird and visceral worlds as they take control of a small droplet of water while overcoming obstacles and enemies throughout each level The Player must venture through each world as it collects precious water tokens in order open the exit portal and restore vitality to its droughtridden home world Features Traverse your way through 27 handcrafted levels Unique player mechanics Battle menacing bosses across 3 distinct worlds Original artwork amp
Two Weeks in Painland,20200203,0.0,0.0,https://cdn.akamai.steamstatic.com/steam/apps/1139950/header.jpg?t=1595003825,0.0,50.0,17.0,"Singleplayer,Steam Achievements","Indie,Adventure,Nudity,Violent,Sexual Content,Story Rich",ABOUT THE GAME Play as a hacker who has arranged a deal with a gangster ThatAs how the protagonist Jack is assigned a mission that should be accomplished in a specific timeframe which he will find out soon enough THE GAMEAS FEATURES Spy on 4 senior managers within an organization to find out about their personalities Manage the recruitment process in the organization to improve the work climate Hack the candidates who want to get into the organization to make your job easier Try to avoid having your physical health impacted negatively in the process All of this while you enjoy an interesting story full of humor and action that evolves along with the game
Wartune Reborn,20210226,0.0,0.0,,,,,,,Feel tired of autofight Feel tired of boring numerical combinations Let us try this amazing and exciting game Right Wartune Reborn is the super popular magic epic game as we know Now the magnificent magic epic game restarts reminds you the classical plays and brings great experience In Cloud City you are going to maintains the Wartune movement fighting the abyss monsters to protect the world from chaos Dont be nervous With protection of Dinah Priestess of Light you will have the power to absorb the chord incorporate those forces without kings into your own ones and make contract with and train apotheosis of Sylphs You can improve yourself in a series of RPG adventures including instances battles wild fighting occupation and plunder At the same time you can run your own ligeance and castles and ally yourself with other players in the world who attack the Chaos All of you are going to cooperate to protect the world from the control and destroy of Redoga Drake and bring the brightness back to Cloud City Enter Wartune Reborn to enjoy thinking of battles and playing the game 1 RPG simulation S semi TBS battle castles constructions occupation amp
TD Worlds,20220109,0.0,10.99,,,,,,,TD Worlds is a dynamic highly strategical game that challenges your skill Build an impenetrable defense and get ready to plunge into a new unknown world to uncover its secrets In this bizarre universe each attempt will be unique in its own way which provides many hours of fun to play Clear three completely different worlds from darkness spread your influence everywhere unique conditions in each game
Legend of Rome The Wrath of Mars,20220505,0.0,9.99,https://cdn.akamai.steamstatic.com/steam/apps/1968760/header.jpg?t=1651734619,0.0,0.0,0.0,"Singleplayer,Steam Cloud",,When the Roman people honored a simple warrior for the victories in battle they angered the god of war Mars infuriated sends his army and brings great destruction to the Roman people Experience a challenging match 3 game and help the Roman people appease Mars the god of war Build and restore the proud city to its original splendor In Legend of Rome play through an exciting story earn bonuses power ups and trophies solve minigames and extra levels to get closer to your goal Varied match 3 game with many extras Play through a challenging story Build and restore the city Earn different bonuses upgrades and extras Solve challenging minigames and bonus levels
MazM Jekyll and Hyde,20200402,0.0,14.99,https://cdn.akamai.steamstatic.com/steam/apps/1178150/header.jpg?t=1612253064,0.0,76.0,25.0,"Singleplayer,Steam Achievements,Full controller support","Adventure,Simulation,RPG,Strategy,Singleplayer,Classic",MazM Jekyll and Hyde is a darkly entertaining adventure game based on the classic 1886 novel The Strange Case of Dr Jekyll and Mr Hyde by Robert Louis Stevenson in which youll tackle the mystery from a totally new angle Youll travel back to 19th century London and view the city through the eyes of Mr Utterson a lawyer that walks the true path hunting for clues to solve a disturbing mystery and Mr Hyde who has been pushed to his physical limits Wander the streets of this psychological thriller and prepare for an ending you would never expect The version of London presented in MazM Jekyll and Hyde has a dark heavy atmosphere creating a sense of the eerie and macabre The stunning artwork and unsettling music help to further intensify the disturbing nature of the game Travel throughout London searching for clues and allow the world of this classic novel to envelop you as you experience the tale of one mans many challenges and potential downfall
Deadlings Rotten Edition,20141111,0.0,3.99,https://cdn.akamai.steamstatic.com/steam/apps/320150/header.jpg?t=1447363358,0.0,225.0,32.0,"Singleplayer,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud","Action,Indie,Adventure,PuzzlePlatformer,Arcade,Zombies",Death is lonely He has zero friends on his FaceTome account and no one to hang out with So in order to feel better he begins AProject Deadlings  Death buys a factory where he can build his laboratory and begin training a massive army of zombie minions As the army of Deadlings grows the mazes of the laboratory become deadlier loaded with puzzles and deathdefying traps Different Deadlings have their own unique abilities Bonesack is agile he can run and jump Creep can climb on walls and ceilings Lazybrain treads slowly but carefully and Stencher well Stencher has gastric problems so he can use his powerful gas clouds to fly You will have to combine all of these abilities to find your way in Deaths Maze Can you help Death to kill his boredom Will you be able to navigate all 60 levels available in Deadlings Will you complete Project Deadlings and successfully train all of your zombie minions Arcade sidescroller with strategy elements Four different types of zombie minions with unique abilities 70 levels of pure zombie gore fun Additional game mode Nightmare only for the hardcore gamers Whats new in the Rotten Edition 10 brand new bonus levels 15 new levels in Nightmare Mode Steam achievements and leaderboards Full controller support Nightmare mode unlocked from the beginning Steam Trading Cards and Badges HD graphics
